messageid,senderid,receiverid,contents,sendTime,status
2,Brook_Dickinson,Laurine.Trantow,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,10/9/11 21:49,Read
11,Kylie.Bosco,Alivia.Steuber,Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue  diam id ornare imperdiet  sapien urna pretium nisl  ut volutpat sapien arcu sed augue. Aliquam erat volutpat.,10/9/11 21:49,Read
27,Deonte.Hagenes,Giovani_Jerde,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,10/9/11 21:49,Delivered
28,Hazle_Reynolds,Broderick,Donec diam neque  vestibulum eget  vulputate ut  ultrices vel  augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra  magna vestibulum aliquet ultrices  erat tortor sollicitudin mi  sit amet lobortis sapien sapien non mi. Integer ac neque.,10/9/11 21:49,Read
36,Ella,Madelynn.Roob,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,10/9/11 21:49,Delivered
46,Halle,Nikki,Mauris enim leo  rhoncus sed  vestibulum sit amet  cursus id  turpis. Integer aliquet  massa id lobortis convallis  tortor risus dapibus augue  vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.,10/9/11 21:49,Delivered
61,Ivy,Amira,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,10/9/11 21:49,Delivered
65,Leilani,America_Hickle,In congue. Etiam justo. Etiam pretium iaculis justo.,10/9/11 21:49,Delivered
67,Kennedy,Trudie_Green,Praesent blandit. Nam nulla. Integer pede justo  lacinia eget  tincidunt eget  tempus vel  pede.,10/9/11 21:49,Delivered
69,Kristina_Reilly,Leone.Dach,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu  adipiscing molestie  hendrerit at  vulputate vitae  nisl.,10/9/11 21:49,Delivered
74,Dario.Yundt,Eveline,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam  sollicitudin vitae  consectetuer eget  rutrum at  lorem.,10/9/11 21:49,Delivered
78,Elfrieda_Ebert,Ryann_Lubowitz,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,10/9/11 21:49,Read
